tx_from,tx_to,tx_hash,block_number,token_sold_address,token_sold_amount_raw,token_bought_address,token_bought_amount_raw,amount_usd
0x8969f04b1301747b9dca6764c65fb69443835c31,0x284f11109359a7e1306c3e447ef14d38400063ff,0x9f12ddfc7b6e88e6cf7831aa55ec8a009b204030462a7ac141498be4836002cd,8619545,0x4200000000000000000000000000000000000006,1766000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,994185937720687547825269,4580.121
0xdb1f830620d887a30cdb4cf591ef5afd0172e26e,0x284f11109359a7e1306c3e447ef14d38400063ff,0x7fbca99c3f135a32470c1fd457578153a7b07d63e3f828bd26987350082c91ba,8619598,0x4200000000000000000000000000000000000006,750000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,300825889915427659655140,1945.125
0xdc507cb9e826d6669f182814dfe09eb501b891ba,0x284f11109359a7e1306c3e447ef14d38400063ff,0x8831c3f3e5f9319c46de25267809079ad7bb89f0817e9ac14b627626b4f0e4be,8619549,0x4200000000000000000000000000000000000006,1170000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,627207002479639818633521,3034.395
0xd22e47c2d738f5708a0334ea25ee9630694ead5c,0x284f11109359a7e1306c3e447ef14d38400063ff,0xf0958178d2b310ea38117387007c507ad3ecec9acdb587c0893d0b65fdcf9123,8619595,0x4200000000000000000000000000000000000006,1090000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,446035553356415396935074,2826.9150000000004
0x5c9ea55355ea7d0de7b40bbb97b223ed41932045,0x284f11109359a7e1306c3e447ef14d38400063ff,0x20c420ff4e06f8f99dd2088f64f3ac0d44cf6bd466982c0f4604adc2633d8c39,8619570,0x4200000000000000000000000000000000000006,2690000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,1257790730390774302387161,6976.514999999999
0x7da5c0b9d400c495648c468ba606399ef40b786c,0x284f11109359a7e1306c3e447ef14d38400063ff,0x0065bf8622aa004e3b739f0fd6caae11b9a13ed45b34c519dfe968a87d90479f,8620288,0x20f17d48646d57764334b6606d85518680d4e276,5445889805303619628165580,0x4200000000000000000000000000000000000006,16736220008026783480,43374.926670402856
0x4cbaf771bffd80da9d24d30262318497b39de394,0x284f11109359a7e1306c3e447ef14d38400063ff,0x45f310a6b13d8010b06ebad6615eea665765520261ad595a4580d7d952d049c3,8614020,0x20f17d48646d57764334b6606d85518680d4e276,2012954207072447404585516,0x4200000000000000000000000000000000000006,1219527768453993220,3208.07755241739
0xfd6fdc982bd0c2f99d9693c25d9d1d75b6686cd8,0x284f11109359a7e1306c3e447ef14d38400063ff,0x0bc951aead1749bde34e546d63561da94c818393373b7328f1b948c10aeef3f9,8624216,0x20f17d48646d57764334b6606d85518680d4e276,1571041826111990149000024,0x4200000000000000000000000000000000000006,3848009334839218889,9993.472643044193
0x975eb89d48ae513b2d8d9e9e30ed6689317f6d00,0x284f11109359a7e1306c3e447ef14d38400063ff,0x5a717329e1c221d312826882e21a2ab69f735058bbdcdff6bf326e23363f60dc,8620258,0x20f17d48646d57764334b6606d85518680d4e276,1651490051881315550863557,0x4200000000000000000000000000000000000006,5680447982127515728,14721.903426320237
0xae70f7adcc2196a5f510fbf0d21cb797533f7e6a,0x284f11109359a7e1306c3e447ef14d38400063ff,0x3fca5aeddbb8b91c7052a8eef800efd0033f77307829ec4750d250e1f4acaabf,8614329,0x4200000000000000000000000000000000000006,238000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,440371501192167698399868,626.34222
